"Código
CUOC","Ocupación
","Descripción Completa"
21635,"
                                        Diseñadores de iluminación
                                    ","Diseñador de iluminación arquitectónica. Diseñador de iluminación artística para teatro. Diseñador de iluminación artístico. Diseñador de iluminación de fachadas arquitectónicas"
21640,"
                                        Planificadores urbanos, regionales y de tránsito
                                    ","Analista de políticas y programas de transporte. Analista programas de transporte"
21650,"
                                        Cartógrafos e ingenieros topográficos y catastrales
                                    ","Agrimensor aéreo. Agrimensor aerofotógrafo. Agrimensor topográfico. Ingeniero agrimensor. Ingeniero en agrimensura. Ingeniero geógrafo y ambiental"
21661,"
                                        Diseñadores gráficos
                                    ","Diseñador de afiche. Diseñador de productos y artículos impresos en 3D"
21662,"
                                        Diseñadores de imágenes computarizadas e interacción digital
                                    ","Animador 2D. Animador 3D. Animador de diseño gráfico. Animador gráfico. Animador gráfico y de multimedia. Dibujante animador de diseño gráfico. Diseñador analista de tendencias. Diseñador artista digital. Diseñador audiovisual. Diseñador de animación. Diseñador de animación y movimiento. Diseñador de aplicaciones móviles. Diseñador de arquitectura de contenidos. Diseñador gráfico de animación. Diseñador y productor audiovisual"
22110,"
                                        Médicos generales
                                    ","Médico adjunto en medicina general. Médico de atención primaria. Médico de atención primaria de salud"
22120,"
                                        Médicos especialistas
                                    ","Alergista clínico. Anestesiólogo. Anestesista. Doctor en anestesiología. Médico de anestesiología. Médico residente de anestesia"
22210,"
                                        Profesionales de enfermería
                                    ","Enfermería de atención domiciliaria. Profesional de enfermería de anestesia. Supervisor de auxiliares de enfermería"
22220,"
                                        Profesionales de partería
                                    ","Planean, gestionan, suministran y evalúan los servicios de atención de partería antes, durante, después del embarazo y el parto; proporcionan atención del parto para reducir los riesgos de salud a las mujeres y los niños recién nacidos, trabajan de manera autónoma o en equipo con otros profesionales de la salud. Se pueden desempeñar en hospitales, clínicas y centros de servicios especializados en salud, entre otros."
22300,"
                                        Profesionales de medicina tradicional y alternativa
                                    ","Examinan pacientes, previenen y tratan enfermedades, dolencias, lesiones y otros problemas físicos, energéticos, mentales y espirituales y mantienen la salud general de los seres humanos mediante la aplicación de conocimientos, habilidades, alternativas de tratamiento y prácticas adquiridas a través de un amplio estudio de las teorías, creencias y experiencias procedentes de culturas específicas. Se pueden desempeñar en clínicas, centros, clubes y tiendas de salud, naturistas y de medicina alternativa, entre otros."
